sentence_id,volume,group_start,seg_idx,src_file,t_start,t_end,duration,media_file,source
53,1,51,2,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,15.035,16.966,1.932,media/ZS_F1_0053.mp3,F1-GMS-0051C 00:15.03-00:16.97
54,1,51,3,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,18.865,20.809,1.944,media/ZS_F1_0054.mp3,F1-GMS-0051C 00:18.86-00:20.81
55,1,51,4,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,23.210,25.366,2.156,media/ZS_F1_0055.mp3,F1-GMS-0051C 00:23.21-00:25.37
56,1,51,5,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,27.321,29.145,1.824,media/ZS_F1_0056.mp3,F1-GMS-0051C 00:27.32-00:29.15
57,1,51,6,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,31.413,33.263,1.850,media/ZS_F1_0057.mp3,F1-GMS-0051C 00:31.41-00:33.26
58,1,51,7,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,35.375,37.054,1.679,media/ZS_F1_0058.mp3,F1-GMS-0051C 00:35.38-00:37.05
59,1,51,8,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,39.581,41.292,1.711,media/ZS_F1_0059.mp3,F1-GMS-0051C 00:39.58-00:41.29
60,1,51,9,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,43.545,45.538,1.993,media/ZS_F1_0060.mp3,F1-GMS-0051C 00:43.54-00:45.54
61,1,51,10,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,47.469,50.202,2.734,media/ZS_F1_0061.mp3,F1-GMS-0051C 00:47.47-00:50.20
62,1,51,11,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,52.587,54.169,1.582,media/ZS_F1_0062.mp3,F1-GMS-0051C 00:52.59-00:54.17
63,1,51,12,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,56.673,59.967,3.294,media/ZS_F1_0063.mp3,F1-GMS-0051C 00:56.67-00:59.97
64,1,51,13,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,61.841,63.931,2.090,media/ZS_F1_0064.mp3,F1-GMS-0051C 01:01.84-01:03.93
65,1,51,14,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,65.936,67.539,1.603,media/ZS_F1_0065.mp3,F1-GMS-0051C 01:05.94-01:07.54
66,1,51,15,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,69.979,72.462,2.483,media/ZS_F1_0066.mp3,F1-GMS-0051C 01:09.98-01:12.46
67,1,51,16,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,74.439,75.734,1.295,media/ZS_F1_0067.mp3,F1-GMS-0051C 01:14.44-01:15.73
68,1,51,17,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,78.238,79.559,1.321,media/ZS_F1_0068.mp3,F1-GMS-0051C 01:18.24-01:19.56
69,1,51,18,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,82.114,83.997,1.883,media/ZS_F1_0069.mp3,F1-GMS-0051C 01:22.11-01:24.00
70,1,51,19,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,85.973,88.177,2.205,media/ZS_F1_0070.mp3,F1-GMS-0051C 01:25.97-01:28.18
71,1,51,20,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,90.080,91.730,1.649,media/ZS_F1_0071.mp3,F1-GMS-0051C 01:30.08-01:31.73
72,1,51,21,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,93.910,96.418,2.508,media/ZS_F1_0072.mp3,F1-GMS-0051C 01:33.91-01:36.42
73,1,51,22,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,98.710,100.216,1.506,media/ZS_F1_0073.mp3,F1-GMS-0051C 01:38.71-01:40.22
74,1,51,23,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,102.665,105.760,3.095,media/ZS_F1_0074.mp3,F1-GMS-0051C 01:42.66-01:45.76
75,1,51,24,GLOSSIKA-ENZS-F1-GMS-0051C.mp3,108.300,109.820,1.520,media/ZS_F1_0075.mp3,F1-GMS-0051C 01:48.30-01:49.82
